rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/std
-3755.2003760000002,1,101.1,0,95256,526,,,,,,,,,,,
-3727.24931473,2,101.1,0,95512,1048,0.0003,-0.0003917853464372456,7.2955154e-06,2.0384788513183594e-05,0.0,218818.89453125,0.2,1476,-5.880711764097214,134787.65625,1.0530908107757568
-3922.18595194,3,98.57,0,95768,1642,0.0003,-0.0006956564611755311,6.43821e-05,0.00010150671005249023,0.0,107141.8603515625,0.2,1480,-5.88055232167244,58157.44921875,1.0531392097473145
-4350.019132619999,4,98.2,0,96024,2256,0.0003,-0.0002955331583507359,0.0001088304,5.817413330078125e-05,0.0,21722389.4375,0.2,1484,-5.880692958831787,11482572.0,1.0531463623046875
-4495.99043525,5,97.91,0,96280,2837,0.0003,-0.0001400139881297946,4.00329e-06,3.504753112792969e-05,0.0,12515856.625,0.2,1488,-5.880710959434509,6663696.0,1.0531527996063232
-4626.1443610100005,6,97.23,0,96536,3404,0.0003,-7.343059405684471e-05,4.48199e-07,2.574920654296875e-05,0.0,10227169.6875,0.2,1492,-5.880736768245697,4385023.5,1.0531599521636963
-4761.088023,7,99.01,0,96792,3946,0.0003,-0.00014291127445176244,1.7443672e-06,4.5180320739746094e-05,0.0,2711437.2109375,0.2,1496,-5.880819648504257,1298203.5,1.0532035827636719
-4651.534370320001,8,99.28,0,97048,4465,0.0003,-0.00019346235785633326,1.8551946e-06,2.950429916381836e-05,0.0,3602660.9921875,0.2,1500,-5.88097220659256,1537514.25,1.0532315969467163
-4612.78115315,9,99.57,0,97304,5005,0.0003,-0.00017349864356219769,2.6000198e-06,5.829334259033203e-05,0.0,1180541.61328125,0.2,1504,-5.881059527397156,641990.9375,1.053257942199707
-4700.89917125,10,99.57,0,97560,5514,0.0003,-0.0002055432414636016,2.9259827e-06,2.491474151611328e-05,0.0,2218864.328125,0.2,1508,-5.881154835224152,1075890.5,1.053271770477295
-4431.19155177,11,97.48,0,97816,6098,0.0003,-7.421092595905066e-05,1.0603108e-06,-3.337860107421875e-06,0.0,1605527.6171875,0.2,1512,-5.881175845861435,628968.0,1.0532678365707397
-4564.389242289999,12,97.16,0,98072,6605,0.0003,-0.00024402985582128167,1.8097926e-06,0.00010102987289428711,0.0,2485658.2109375,0.2,1516,-5.8811143934726715,1003524.3125,1.0532336235046387
-4556.41814764,13,99.1,0,98328,7108,0.0003,-0.00010411720722913742,1.8968713e-06,3.796815872192383e-05,0.0,5062125.0625,0.2,1520,-5.8810001611709595,2148112.75,1.0532230138778687
-4399.7072985,14,100.61,0,98584,7605,0.0003,-0.0021859969128854573,0.0008475438,7.092952728271484e-05,0.0,44981.94470214844,0.2,1524,-5.882247298955917,20552.533203125,1.0542614459991455
-4378.308014979999,15,100.5,0,98840,8127,0.0003,-0.004136458737775683,0.0018952959,0.00026345252990722656,0.0029296875,38537.45300292969,0.2,1528,-5.886924982070923,23100.439453125,1.0552146434783936
-4363.77689876,16,101.39,0,99096,8618,0.0003,-0.0005473442142829299,0.00012883334,0.00036334991455078125,0.0,53152.27111816406,0.2,1532,-5.8898071348667145,29795.4375,1.0560879707336426
-4237.381348440001,17,102.02,0,99352,9135,0.0003,-0.0011653200490400195,0.0013980207,0.00034034252166748047,0.0009765625,46190.61279296875,0.2,1536,-5.89324414730072,30320.9921875,1.0567071437835693
-3890.14616676,18,102.02,0,99608,9649,0.0003,-0.0002863822737708688,9.637466e-05,-4.291534423828125e-06,0.0,1379738.91796875,0.2,1540,-5.893672376871109,913612.75,1.056591510772705
-3885.50280751,19,101.09,0,99864,10210,0.0003,-0.0010846132645383477,7.465668e-05,0.0009050965309143066,0.0,22870.083129882812,0.2,1544,-5.8936295211315155,12946.9609375,1.056685209274292
-3932.4956279300004,20,101.09,0,100120,10722,0.0003,0.00017084111459553242,2.2215303e-05,5.751848220825195e-05,0.0,2508301.375,0.2,1548,-5.893941432237625,1158105.5,1.0567193031311035
