episode,episode_start_step,episode_end_step,episode_length,termination_reason,urgency_position_ratio_exact,speed_diff_modifier_exact,max_participants_exact,ignore_vehicles_go_exact,total_vehicles_exited,total_collisions,total_deadlocks,max_deadlock_severity,avg_throughput,avg_acceleration,total_controlled_vehicles,total_reward,episode_simulation_time,total_simulation_time,episode_start_time,simulation_start_time,episode_duration_hours,total_duration_hours
0,0,110,110,Severe deadlock detected by environment (IMMEDIATE),1.2033141,5.0,4,36.0,69,309,0,0.0,248.1518444540976,1.0867526724991503,80,-30275.06173409922,305.56,305.56,2025-08-31 18:47:28,2025-08-31 18:47:28,0.085,0.085
1,110,239,129,Reached exactly 128 steps,1.3007053136825562,-1.0,5,36.0,89,0,0,0.0,3600.0,1.111964838527576,174,-4168.947619047613,298.47,608.46,2025-08-31 18:57:36,2025-08-31 18:47:28,0.083,0.169
2,239,310,71,Severe deadlock detected by environment (IMMEDIATE),1.739040732383728,-15.0,4,32.0,79,62,0,0.0,3600.0,1.2491470724042155,255,-5941.183441558442,178.8,787.28,2025-08-31 18:57:36,2025-08-31 18:47:28,0.05,0.219
3,310,363,53,Severe deadlock detected by environment (IMMEDIATE),1.681980013847351,0.0,4,36.0,35,213,0,0.0,3600.0,1.227565103177936,298,-18671.06333650869,171.59,961.18,2025-08-31 19:00:38,2025-08-31 18:47:28,0.048,0.267
4,363,492,129,Reached exactly 128 steps,1.6007593870162964,9.0,5,32.0,101,0,0,0.0,3600.0,1.2956287120237024,400,949.0261904761886,294.0,1259.42,2025-08-31 19:08:27,2025-08-31 18:47:28,0.082,0.35
5,492,621,129,Reached exactly 128 steps,1.33685040473938,7.0,5,44.0,115,0,0,0.0,3600.0,1.2075558473808805,515,-7955.529761904763,4.96,1609.07,2025-08-31 19:14:12,2025-08-31 18:47:28,0.001,0.447
6,621,750,129,Reached exactly 128 steps,1.4150042533874512,-12.0,5,40.0,139,0,0,0.0,3600.0,1.1300421041861577,659,118.16589244089089,7.28,1925.33,2025-08-31 19:19:26,2025-08-31 18:47:28,0.002,0.535
7,750,794,44,Severe deadlock detected by environment (IMMEDIATE),2.075618267059326,-2.0,5,54.0,37,226,0,0.0,3600.0,1.1411073783390029,698,-20195.771530675207,159.78,2077.82,2025-08-31 19:19:26,2025-08-31 18:47:28,0.044,0.577
8,794,923,129,Reached exactly 128 steps,1.414947748184204,-2.0,5,30.0,113,0,0,0.0,3600.0,1.154797041047558,813,-5714.075058275062,320.52,2402.13,2025-08-31 19:27:30,2025-08-31 18:47:28,0.089,0.667
9,923,1052,129,Reached exactly 128 steps,1.4473235607147217,2.0,5,48.0,113,0,0,0.0,3600.0,1.1573446858732015,929,-429.647893772896,5.15,2706.15,2025-08-31 19:32:29,2025-08-31 18:47:28,0.001,0.752
