timestep,episode,throughput,avg_acceleration,collision_count,total_controlled,vehicles_exited,deadlocks_detected,deadlock_severity,reward,deadlock_detected,severe_deadlock_detected,episode_simulation_time,total_simulation_time,episode_start_time,simulation_start_time
100006,1275,3600.0,1.263739761723096,0,4159,3993,0,0.0,1.9,False,False,6.02,10502.41,2025-09-05 04:57:57,2025-09-05 02:03:00
100007,1275,3600.0,1.263739761723096,0,4163,3993,0,0.0,4.300000000000001,False,False,8.08,10504.48,2025-09-05 04:57:57,2025-09-05 02:03:00
100008,1275,3600.0,1.2637109686367076,0,4163,3993,0,0.0,3.9,False,False,10.22,10506.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100009,1275,3600.0,1.2643199678038513,0,4163,3993,0,0.0,3.4,False,False,12.46,10508.85,2025-09-05 04:57:57,2025-09-05 02:03:00
100010,1275,3600.0,1.2642754729324506,0,4163,3994,0,0.0,13.185714285714285,False,False,14.99,10511.38,2025-09-05 04:57:57,2025-09-05 02:03:00
100011,1275,3600.0,1.2642611571555395,0,4167,3995,0,0.0,14.9,False,False,17.37,10513.76,2025-09-05 04:57:57,2025-09-05 02:03:00
100012,1275,3600.0,1.264210950462128,0,4167,3995,0,0.0,4.15,False,False,19.63,10516.03,2025-09-05 04:57:57,2025-09-05 02:03:00
100013,1275,3600.0,1.2639301650541015,0,4167,3997,0,0.0,23.614285714285714,False,False,22.24,10518.63,2025-09-05 04:57:57,2025-09-05 02:03:00
100014,1275,3600.0,1.2641943439779204,0,4167,3997,0,0.0,3.4,False,False,24.59,10520.98,2025-09-05 04:57:57,2025-09-05 02:03:00
100015,1275,3600.0,1.263892987400711,0,4170,3997,0,0.0,4.525,False,False,27.06,10523.46,2025-09-05 04:57:57,2025-09-05 02:03:00
100016,1275,3600.0,1.2640112976626137,0,4170,3997,0,0.0,3.9999999999999996,False,False,29.66,10526.06,2025-09-05 04:57:57,2025-09-05 02:03:00
100017,1275,3600.0,1.2640011036471068,1,4170,4000,0,0.0,-66.38571428571429,False,False,32.54,10528.94,2025-09-05 04:57:57,2025-09-05 02:03:00
100018,1275,3600.0,1.2639770036850286,1,4171,4003,0,0.0,33.1,False,False,34.94,10531.34,2025-09-05 04:57:57,2025-09-05 02:03:00
100019,1275,3600.0,1.2637103467359203,1,4175,4005,0,0.0,23.9,False,False,36.96,10533.36,2025-09-05 04:57:57,2025-09-05 02:03:00
100020,1275,3600.0,1.2641195397798393,1,4177,4007,0,0.0,23.614285714285714,False,False,39.23,10535.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100021,1275,3600.0,1.2640658274382208,1,4179,4009,0,0.0,23.614285714285714,False,False,41.58,10537.97,2025-09-05 04:57:57,2025-09-05 02:03:00
100022,1275,3600.0,1.26395232500522,1,4181,4012,0,0.0,33.025,False,False,43.98,10540.38,2025-09-05 04:57:57,2025-09-05 02:03:00
100023,1275,3600.0,1.2638940783328967,1,4184,4013,0,0.0,13.4,False,False,46.45,10542.84,2025-09-05 04:57:57,2025-09-05 02:03:00
100024,1275,3600.0,1.2640922800755776,1,4184,4013,0,0.0,3.2636363636363632,False,False,49.19,10545.59,2025-09-05 04:57:57,2025-09-05 02:03:00
100025,1275,3600.0,1.264186421488704,1,4184,4013,0,0.0,3.15,False,False,52.16,10548.56,2025-09-05 04:57:57,2025-09-05 02:03:00
100026,1275,3600.0,1.2639671613536991,1,4184,4013,0,0.0,3.15,False,False,55.19,10551.59,2025-09-05 04:57:57,2025-09-05 02:03:00
100027,1275,3600.0,1.2639873509143982,1,4190,4016,0,0.0,34.56666666666666,False,False,58.22,10554.62,2025-09-05 04:57:57,2025-09-05 02:03:00
100028,1275,3600.0,1.2638005830216164,1,4190,4017,0,0.0,14.525,False,False,60.9,10557.3,2025-09-05 04:57:57,2025-09-05 02:03:00
100029,1275,3600.0,1.2637567986192653,1,4190,4017,0,0.0,4.233333333333334,False,False,63.45,10559.85,2025-09-05 04:57:57,2025-09-05 02:03:00
100030,1275,3600.0,1.263894163765195,1,4190,4019,0,0.0,24.04285714285714,False,False,66.1,10562.5,2025-09-05 04:57:57,2025-09-05 02:03:00
100031,1275,3600.0,1.2636415491229631,1,4191,4021,0,0.0,24.299999999999997,False,False,68.49,10564.88,2025-09-05 04:57:57,2025-09-05 02:03:00
100032,1275,3600.0,1.263450717519471,1,4191,4021,0,0.0,4.300000000000001,False,False,70.67,10567.07,2025-09-05 04:57:57,2025-09-05 02:03:00
100033,1275,3600.0,1.2634754562445456,1,4191,4022,0,0.0,14.15,False,False,72.81,10569.21,2025-09-05 04:57:57,2025-09-05 02:03:00
100034,1275,3600.0,1.263278198019006,1,4192,4024,0,0.0,23.9,False,False,74.74,10571.13,2025-09-05 04:57:57,2025-09-05 02:03:00
100035,1275,3600.0,1.2630663838940035,1,4193,4024,0,0.0,4.9,False,False,76.49,10572.89,2025-09-05 04:57:57,2025-09-05 02:03:00
100036,1275,3600.0,1.2628609535216346,1,4193,4024,0,0.0,4.9,False,False,78.32,10574.72,2025-09-05 04:57:57,2025-09-05 02:03:00
100037,1275,3600.0,1.2628822421132622,1,4193,4025,0,0.0,14.9,False,False,80.14,10576.53,2025-09-05 04:57:57,2025-09-05 02:03:00
100038,1275,3600.0,1.2628231106094376,1,4193,4025,0,0.0,4.9,False,False,81.83,10578.23,2025-09-05 04:57:57,2025-09-05 02:03:00
100039,1275,3600.0,1.2628231106094376,1,4193,4027,0,0.0,21.9,False,False,83.48,10579.87,2025-09-05 04:57:57,2025-09-05 02:03:00
100040,1275,3600.0,1.2628231106094376,1,4195,4029,0,0.0,21.9,False,False,85.17,10581.56,2025-09-05 04:57:57,2025-09-05 02:03:00
100041,1275,3600.0,1.2628231106094376,1,4197,4030,0,0.0,14.9,False,False,86.83,10583.23,2025-09-05 04:57:57,2025-09-05 02:03:00
100042,1275,3600.0,1.2627949336698339,1,4198,4031,0,0.0,14.9,False,False,88.31,10584.7,2025-09-05 04:57:57,2025-09-05 02:03:00
100043,1275,3600.0,1.2626685483890532,1,4199,4032,0,0.0,14.9,False,False,89.78,10586.17,2025-09-05 04:57:57,2025-09-05 02:03:00
100044,1275,3600.0,1.2625357509073463,1,4200,4033,0,0.0,14.9,False,False,91.29,10587.69,2025-09-05 04:57:57,2025-09-05 02:03:00
100045,1275,3600.0,1.2625357509073463,1,4200,4033,0,0.0,1.9,False,False,92.76,10589.16,2025-09-05 04:57:57,2025-09-05 02:03:00
100046,1275,3600.0,1.2625357509073465,1,4201,4035,0,0.0,21.9,False,False,94.07,10590.46,2025-09-05 04:57:57,2025-09-05 02:03:00
100047,1275,3600.0,1.2625357509073465,1,4203,4037,0,0.0,21.9,False,False,95.61,10592.01,2025-09-05 04:57:57,2025-09-05 02:03:00
100048,1275,3600.0,1.2625357509073465,1,4204,4038,0,0.0,11.9,False,False,97.12,10593.51,2025-09-05 04:57:57,2025-09-05 02:03:00
100049,1275,3600.0,1.2625357509073465,1,4205,4039,0,0.0,11.9,False,False,98.7,10595.1,2025-09-05 04:57:57,2025-09-05 02:03:00
100050,1275,3600.0,1.2625357509073465,1,4206,4040,0,0.0,11.9,False,False,100.28,10596.68,2025-09-05 04:57:57,2025-09-05 02:03:00
100051,1275,3600.0,1.2625357509073465,1,4207,4041,0,0.0,11.9,False,False,101.77,10598.17,2025-09-05 04:57:57,2025-09-05 02:03:00
100052,1275,3600.0,1.2625357509073465,1,4208,4042,0,0.0,11.9,False,False,103.3,10599.7,2025-09-05 04:57:57,2025-09-05 02:03:00
100053,1275,3600.0,1.2625357509073465,1,4209,4042,0,0.0,4.9,False,False,104.76,10601.15,2025-09-05 04:57:57,2025-09-05 02:03:00
100054,1275,3600.0,1.2625720528593747,1,4209,4042,0,0.0,3.4,False,False,106.29,10602.69,2025-09-05 04:57:57,2025-09-05 02:03:00
